To determine which services are exposed externally via LoadBalancer or NodePort, I will query the cluster for all services and filter based on their `type` field (`LoadBalancer` or `NodePort`). Let me fetch this information.The following services are exposed externally via `NodePort`:

1. **Namespace:** `mohsen`
   - **Name:** `fancy-website`
     - **Type:** NodePort
     - **Cluster-IP:** 10.96.67.96
     - **Port(s):** 80:31234/TCP
     - **Age:** 26h
   - **Name:** `fancy-website-service`
     - **Type:** NodePort
     - **Cluster-IP:** 10.96.41.170
     - **Port(s):** 80:30855/TCP
     - **Age:** 27h
   - **Name:** `web-app-service`
     - **Type:** NodePort
     - **Cluster-IP:** 10.96.77.67
     - **Port(s):** 80:30546/TCP
     - **Age:** 27h

No services are exposed via `LoadBalancer`.
