index,scenario,query_preview,status,latency_ms,hitl,cluster_resolved,score_signal,score_judge,judge_result
1,01-crashloop,"A pod in namespace scenario-test is crashing repeatedly. Find the root cause, ex",ok,19321,False,yes,0.97,,
2,02-imagepull,A newly deployed workload in namespace scenario-test is failing to start. Invest,unresolved,4722,False,no,0.59,,
3,03-service-mismatch,The frontend cannot reach backend-service in namespace scenario-test. Diagnose e,ok,16639,False,yes,0.95,,
4,04-pending-resources,Why is pod hungry-app still Pending in namespace scenario-test? Investigate node,unresolved,12016,False,no,0.58,,
5,05-missing-configmap,The app config-app in namespace scenario-test is failing to start. Investigate w,ok,10399,False,yes,0.98,,
6,05b-pvc-unbound,My application cannot start because its volume claim is not working in namespace,unresolved,8940,False,no,0.57,,
7,06-oomkilled,The pod memory-hog in namespace scenario-test keeps restarting. The team suspect,ok,8892,False,yes,0.99,,
8,06b-configmap-secret,The app config-app in namespace scenario-test is failing to start. Investigate w,ok,12861,False,yes,0.98,,
9,07-rbac-denied,The application rbac-app in namespace scenario-test is using service account lim,ok,15139,False,yes,0.97,,
10,08-probe-fail,The deployment probe-app in namespace scenario-test shows pods in Running state ,unresolved,10819,False,no,0.58,,
11,09-multi-step,"Create a namespace called loop-test, deploy a single-replica nginx app called we",ok,36875,False,,0.90,,
12,10-incident-rca,Users report the application stack in namespace scenario-test is degraded. I see,unresolved,13646,False,no,0.58,,
13,11-oomkilled,The pod memory-hog in namespace scenario-test keeps restarting. The team suspect,unresolved,10791,False,no,0.58,,
14,12-init-fail,The deployment app-with-init in namespace scenario-test is stuck and never reach,unresolved,6899,False,no,0.59,,
15,13-quota-exceeded,The deployment quota-buster in namespace scenario-test has 3 desired replicas bu,ok,18712,False,yes,0.97,,
16,14-rollout-stuck,The deployment web-api in namespace scenario-test is in the middle of a rolling ,ok,18839,False,yes,0.97,,
17,15-job-backoff,The batch job data-migration in namespace scenario-test has failed. Find out why,unresolved,8307,False,no,0.57,,
18,16-netpol-block,The client-app in namespace scenario-test cannot reach backend-api-svc on port 8,ok,15034,False,yes,0.97,,
19,17-liveness-loop,The deployment app-server in namespace scenario-test keeps restarting even thoug,ok,23665,False,yes,0.96,,
20,18-secret-key-mismatch,The deployment api-app in namespace scenario-test cannot start. The pod is stuck,ok,19493,False,yes,0.97,,
21,19-cronjob-suspended,The scheduled backup job db-backup in namespace scenario-test has not run in a l,ok,13943,False,yes,0.98,,
22,20-taint-no-toleration,The deployment gpu-workload in namespace scenario-test is stuck and no pods are ,unresolved,19566,False,no,0.55,,
23,21-pdb-blocks-rollout,The deployment web-service in namespace scenario-test has been stuck mid-rollout,ok,17520,False,yes,0.97,,
24,22-statefulset-no-headless,"The StatefulSet db-cluster in namespace scenario-test has a running pod, but oth",ok,15740,False,yes,0.92,,
25,23-sidecar-crashloop,The deployment web-app in namespace scenario-test keeps restarting. The applicat,unresolved,9039,False,no,0.58,,
26,24-missing-serviceaccount,The deployment metrics-app in namespace scenario-test shows 0 ready pods and has,ok,28786,False,yes,0.95,,
27,25-configmap-volume-key,The deployment config-reader in namespace scenario-test cannot start. The team c,unresolved,8493,False,no,0.59,,
28,26-cluster-overview,Show me all pods running in the cluster across all namespaces.,ok,6105,False,,0.98,,
29,27-cluster-health,"Give me a health overview of the whole cluster — nodes, namespaces, and any prob",ok,3831,False,,0.99,,
30,28-warning-events,What warning events have happened in the cluster in the last hour?,ok,2774,False,,0.99,,
31,29-pod-restarts,Are there any pods with a high number of restarts? What is causing them?,ok,11380,False,,0.96,,
32,30-unhealthy-pods,Find all pods that are not in Running or Completed state across every namespace.,ok,2445,False,,0.99,,
33,31-cpu-usage,Which pods are consuming the most CPU right now?,ok,3514,False,,0.99,,
34,32-node-memory,Are any nodes under memory pressure? What is the current memory utilisation?,ok,5743,False,,0.98,,
35,33-resource-quotas,Check if any namespace is approaching its resource quota limits.,ok,3067,False,,0.99,,
36,34-pods-no-limits,Which pods are running without CPU or memory limits set?,ok,5037,False,,0.98,,
37,35-namespace-events,Show me all events in the kubeintellect namespace in the last 30 minutes.,ok,6319,False,,0.95,,
38,36-services-no-endpoints,Are there any services in the cluster that have no matching endpoints?,ok,7200,False,,0.98,,
39,37-external-services,What services are exposed externally via LoadBalancer or NodePort?,ok,5252,False,,0.98,,
40,38-app-log-errors,Show me any ERROR-level log lines from the kubeintellect application in the last,ok,2750,False,,0.99,,
41,39-prometheus-error-rate,What is the HTTP error rate for the kubeintellect service over the last 30 minut,ok,3182,False,,0.99,,
42,40-prometheus-latency,"Show me the p50, p95, and p99 request latency for the kubeintellect API over the",ok,4984,False,,0.98,,
