index,scenario,query_preview,status,latency_ms,hitl,cluster_resolved,score_signal,score_judge,judge_result
1,01-crashloop,"A pod in namespace scenario-test is crashing repeatedly. Find the root cause, ex",ok,20478,False,yes,0.96,31,pass
2,02-imagepull,A newly deployed workload in namespace scenario-test is failing to start. Invest,ok,19824,False,yes,0.96,27,fail
3,03-service-mismatch,The frontend cannot reach backend-service in namespace scenario-test. Diagnose e,ok,19363,False,yes,0.97,38,pass
4,04-pending-resources,Why is pod hungry-app still Pending in namespace scenario-test? Investigate node,ok,32728,False,yes,0.95,23,fail
5,05-missing-configmap,The app config-app in namespace scenario-test is failing to start. Investigate w,ok,30145,False,yes,0.95,28,pass
6,05b-pvc-unbound,My application cannot start because its volume claim is not working in namespace,unresolved,46415,False,no,0.55,36,pass
7,06-oomkilled,The pod memory-hog in namespace scenario-test keeps restarting. The team suspect,ok,48348,False,yes,0.95,30,pass
8,06b-configmap-secret,The app config-app in namespace scenario-test is failing to start. Investigate w,ok,18882,False,yes,0.97,31,pass
9,07-rbac-denied,The application rbac-app in namespace scenario-test is using service account lim,ok,19308,False,yes,0.97,37,pass
10,08-probe-fail,The deployment probe-app in namespace scenario-test shows pods in Running state ,ok,24711,False,yes,0.96,37,pass
11,09-multi-step,"Create a namespace called loop-test, deploy a single-replica nginx app called we",ok,28244,False,,0.90,35,fail
12,10-incident-rca,Users report the application stack in namespace scenario-test is degraded. I see,unresolved,19184,False,no,0.57,28,pass
13,11-oomkilled,The pod memory-hog in namespace scenario-test keeps restarting. The team suspect,ok,20664,False,yes,0.96,38,pass
14,12-init-fail,The deployment app-with-init in namespace scenario-test is stuck and never reach,ok,23688,False,yes,0.96,30,pass
15,13-quota-exceeded,The deployment quota-buster in namespace scenario-test has 3 desired replicas bu,ok,45094,False,yes,0.95,26,fail
16,14-rollout-stuck,The deployment web-api in namespace scenario-test is in the middle of a rolling ,ok,29725,False,yes,0.95,27,fail
17,15-job-backoff,The batch job data-migration in namespace scenario-test has failed. Find out why,unresolved,32820,False,no,0.51,30,pass
18,16-netpol-block,The client-app in namespace scenario-test cannot reach backend-api-svc on port 8,ok,23754,False,yes,0.96,38,pass
19,17-liveness-loop,The deployment app-server in namespace scenario-test keeps restarting even thoug,ok,12317,False,yes,0.98,40,pass
20,18-secret-key-mismatch,The deployment api-app in namespace scenario-test cannot start. The pod is stuck,ok,19730,False,yes,0.96,26,fail
21,19-cronjob-suspended,The scheduled backup job db-backup in namespace scenario-test has not run in a l,ok,15462,False,yes,0.97,36,pass
22,20-taint-no-toleration,The deployment gpu-workload in namespace scenario-test is stuck and no pods are ,ok,29302,False,yes,0.95,34,pass
23,21-pdb-blocks-rollout,The deployment web-service in namespace scenario-test has been stuck mid-rollout,ok,16529,False,yes,0.97,23,fail
24,22-statefulset-no-headless,"The StatefulSet db-cluster in namespace scenario-test has a running pod, but oth",ok,18792,False,yes,0.93,39,pass
25,23-sidecar-crashloop,The deployment web-app in namespace scenario-test keeps restarting. The applicat,ok,20865,False,yes,0.96,35,pass
26,24-missing-serviceaccount,The deployment metrics-app in namespace scenario-test shows 0 ready pods and has,ok,57942,False,yes,0.95,38,pass
27,25-configmap-volume-key,The deployment config-reader in namespace scenario-test cannot start. The team c,ok,45211,False,yes,0.95,23,fail
28,26-cluster-overview,Show me all pods running in the cluster across all namespaces.,ok,6695,False,,0.98,37,pass
29,27-cluster-health,"Give me a health overview of the whole cluster — nodes, namespaces, and any prob",ok,3776,False,,0.99,39,pass
30,28-warning-events,What warning events have happened in the cluster in the last hour?,ok,4757,False,,0.98,40,pass
31,29-pod-restarts,Are there any pods with a high number of restarts? What is causing them?,ok,12935,False,,0.95,35,pass
32,30-unhealthy-pods,Find all pods that are not in Running or Completed state across every namespace.,ok,2587,False,,0.99,40,pass
33,31-cpu-usage,Which pods are consuming the most CPU right now?,ok,4178,False,,0.98,40,pass
34,32-node-memory,Are any nodes under memory pressure? What is the current memory utilisation?,ok,5565,False,,0.98,35,pass
35,33-resource-quotas,Check if any namespace is approaching its resource quota limits.,ok,9677,False,,0.97,39,pass
36,34-pods-no-limits,Which pods are running without CPU or memory limits set?,ok,4852,False,,0.98,24,fail
37,35-namespace-events,Show me all events in the kubeintellect namespace in the last 30 minutes.,ok,6587,False,,0.95,40,pass
38,36-services-no-endpoints,Are there any services in the cluster that have no matching endpoints?,ok,5296,False,,0.98,37,pass
39,37-external-services,What services are exposed externally via LoadBalancer or NodePort?,ok,5404,False,,0.98,38,pass
40,38-app-log-errors,Show me any ERROR-level log lines from the kubeintellect application in the last,ok,3006,False,,0.99,40,pass
41,39-prometheus-error-rate,What is the HTTP error rate for the kubeintellect service over the last 30 minut,ok,3317,False,,0.99,38,pass
42,40-prometheus-latency,"Show me the p50, p95, and p99 request latency for the kubeintellect API over the",ok,12033,False,,0.87,19,fail
