index,scenario,query_preview,status,latency_ms,hitl,cluster_resolved,score_signal,score_judge,judge_result
1,01-crashloop,"A pod in namespace scenario-test is crashing repeatedly. Find the root cause, ex",ok,19822,False,yes,0.97,36,pass
2,02-imagepull,A newly deployed workload in namespace scenario-test is failing to start. Invest,unresolved,5132,False,no,0.59,38,pass
3,03-service-mismatch,The frontend cannot reach backend-service in namespace scenario-test. Diagnose e,ok,13243,False,yes,0.98,36,pass
4,04-pending-resources,Why is pod hungry-app still Pending in namespace scenario-test? Investigate node,unresolved,7773,False,no,0.59,33,pass
5,05-missing-configmap,The app config-app in namespace scenario-test is failing to start. Investigate w,ok,10755,False,yes,0.98,38,pass
6,05b-pvc-unbound,My application cannot start because its volume claim is not working in namespace,unresolved,7338,False,no,0.57,40,pass
7,06-oomkilled,The pod memory-hog in namespace scenario-test keeps restarting. The team suspect,ok,8228,False,yes,0.99,37,pass
8,06b-configmap-secret,The app config-app in namespace scenario-test is failing to start. Investigate w,ok,10423,False,yes,0.98,39,pass
9,07-rbac-denied,The application rbac-app in namespace scenario-test is using service account lim,ok,11755,False,yes,0.98,36,pass
10,08-probe-fail,The deployment probe-app in namespace scenario-test shows pods in Running state ,ok,28177,False,yes,0.95,30,pass
11,09-multi-step,"Create a namespace called loop-test, deploy a single-replica nginx app called we",ok,25441,False,,0.92,36,fail
12,10-incident-rca,Users report the application stack in namespace scenario-test is degraded. I see,ok,35396,False,yes,0.95,36,pass
13,11-oomkilled,The pod memory-hog in namespace scenario-test keeps restarting. The team suspect,unresolved,6815,False,no,0.59,38,pass
14,12-init-fail,The deployment app-with-init in namespace scenario-test is stuck and never reach,ok,16404,False,yes,0.97,36,pass
15,13-quota-exceeded,The deployment quota-buster in namespace scenario-test has 3 desired replicas bu,ok,8223,False,yes,0.99,40,pass
16,14-rollout-stuck,The deployment web-api in namespace scenario-test is in the middle of a rolling ,ok,23575,False,yes,0.96,26,fail
17,15-job-backoff,The batch job data-migration in namespace scenario-test has failed. Find out why,ok,22257,False,yes,0.94,28,pass
18,16-netpol-block,The client-app in namespace scenario-test cannot reach backend-api-svc on port 8,ok,16604,False,yes,0.97,34,pass
19,17-liveness-loop,The deployment app-server in namespace scenario-test keeps restarting even thoug,ok,9846,False,yes,0.98,37,pass
20,18-secret-key-mismatch,The deployment api-app in namespace scenario-test cannot start. The pod is stuck,unresolved,6450,False,no,0.59,28,pass
21,19-cronjob-suspended,The scheduled backup job db-backup in namespace scenario-test has not run in a l,ok,13045,False,yes,0.98,33,pass
22,20-taint-no-toleration,The deployment gpu-workload in namespace scenario-test is stuck and no pods are ,unresolved,9577,False,no,0.57,35,pass
23,21-pdb-blocks-rollout,The deployment web-service in namespace scenario-test has been stuck mid-rollout,ok,12240,False,yes,0.98,30,pass
24,22-statefulset-no-headless,"The StatefulSet db-cluster in namespace scenario-test has a running pod, but oth",ok,12210,False,yes,0.94,37,pass
25,23-sidecar-crashloop,The deployment web-app in namespace scenario-test keeps restarting. The applicat,ok,7718,False,yes,0.99,35,pass
26,24-missing-serviceaccount,The deployment metrics-app in namespace scenario-test shows 0 ready pods and has,ok,28650,False,yes,0.95,36,pass
27,25-configmap-volume-key,The deployment config-reader in namespace scenario-test cannot start. The team c,unresolved,8620,False,no,0.59,37,pass
28,26-cluster-overview,Show me all pods running in the cluster across all namespaces.,ok,5408,False,,0.98,37,pass
29,27-cluster-health,"Give me a health overview of the whole cluster — nodes, namespaces, and any prob",ok,2743,False,,0.99,39,pass
30,28-warning-events,What warning events have happened in the cluster in the last hour?,ok,3823,False,,0.99,18,fail
31,29-pod-restarts,Are there any pods with a high number of restarts? What is causing them?,ok,7827,False,,0.97,34,pass
32,30-unhealthy-pods,Find all pods that are not in Running or Completed state across every namespace.,ok,1687,False,,0.99,40,pass
33,31-cpu-usage,Which pods are consuming the most CPU right now?,ok,3382,False,,0.99,34,pass
34,32-node-memory,Are any nodes under memory pressure? What is the current memory utilisation?,ok,4431,False,,0.99,36,pass
35,33-resource-quotas,Check if any namespace is approaching its resource quota limits.,ok,4029,False,,0.99,39,pass
36,34-pods-no-limits,Which pods are running without CPU or memory limits set?,ok,4144,False,,0.99,25,fail
37,35-namespace-events,Show me all events in the kubeintellect namespace in the last 30 minutes.,ok,5060,False,,0.95,38,pass
38,36-services-no-endpoints,Are there any services in the cluster that have no matching endpoints?,ok,4164,False,,0.99,30,pass
39,37-external-services,What services are exposed externally via LoadBalancer or NodePort?,ok,4781,False,,0.98,39,pass
40,38-app-log-errors,Show me any ERROR-level log lines from the kubeintellect application in the last,ok,2486,False,,0.99,40,pass
41,39-prometheus-error-rate,What is the HTTP error rate for the kubeintellect service over the last 30 minut,ok,2764,False,,0.99,39,pass
42,40-prometheus-latency,"Show me the p50, p95, and p99 request latency for the kubeintellect API over the",ok,3344,False,,0.99,28,pass
